Voltage,S_mm2,Brand,Cable,OD_iso_mm,Conductor_D_nominal_mm,Insulation_thickness_mm
8.7/15 kV,25,Induscabos,Epronax 105,16.2,6.00,4.5
8.7/15 kV,35,Induscabos,Epronax 105,17.3,7.10,4.5
8.7/15 kV,50,Induscabos,Epronax 105,18.5,8.30,4.5
8.7/15 kV,70,Induscabos,Epronax 105,19.8,9.60,4.5
8.7/15 kV,95,Induscabos,Epronax 105,21.5,11.30,4.5
8.7/15 kV,120,Induscabos,Epronax 105,22.9,12.70,4.5
8.7/15 kV,150,Induscabos,Epronax 105,24.0,13.80,4.5
8.7/15 kV,185,Induscabos,Epronax 105,25.7,15.50,4.5
8.7/15 kV,240,Induscabos,Epronax 105,28.6,18.40,4.5
8.7/15 kV,300,Induscabos,Epronax 105,30.7,20.50,4.5
8.7/15 kV,400,Induscabos,Epronax 105,33.5,23.30,4.5
8.7/15 kV,500,Induscabos,Epronax 105,36.6,26.40,4.5
12/20 kV,35,Induscabos,Epronax 105,19.3,7.10,5.5
12/20 kV,50,Induscabos,Epronax 105,20.5,8.30,5.5
12/20 kV,70,Induscabos,Epronax 105,21.8,9.60,5.5
12/20 kV,95,Induscabos,Epronax 105,23.5,11.30,5.5
12/20 kV,120,Induscabos,Epronax 105,24.9,12.70,5.5
12/20 kV,150,Induscabos,Epronax 105,26.0,13.80,5.5
12/20 kV,185,Induscabos,Epronax 105,27.7,15.50,5.5
12/20 kV,240,Induscabos,Epronax 105,30.6,18.40,5.5
12/20 kV,300,Induscabos,Epronax 105,32.7,20.50,5.5
12/20 kV,400,Induscabos,Epronax 105,35.5,23.30,5.5
12/20 kV,500,Induscabos,Epronax 105,38.6,26.40,5.5
15/25 kV,50,Induscabos,Epronax 105,23.1,8.3,6.8
15/25 kV,70,Induscabos,Epronax 105,24.4,9.6,6.8
15/25 kV,95,Induscabos,Epronax 105,26.1,11.3,6.8
15/25 kV,120,Induscabos,Epronax 105,27.5,12.7,6.8
15/25 kV,150,Induscabos,Epronax 105,28.6,13.8,6.8
15/25 kV,185,Induscabos,Epronax 105,30.3,15.5,6.8
15/25 kV,240,Induscabos,Epronax 105,33.2,18.4,6.8
15/25 kV,300,Induscabos,Epronax 105,35.3,20.5,6.8
15/25 kV,400,Induscabos,Epronax 105,38.1,23.3,6.8
15/25 kV,500,Induscabos,Epronax 105,41.2,26.4,6.8
20/35 kV,50,Induscabos,Epronax 105,27.1,8.3,8.8
20/35 kV,70,Induscabos,Epronax 105,28.4,9.6,8.8
20/35 kV,95,Induscabos,Epronax 105,30.1,11.3,8.8
20/35 kV,120,Induscabos,Epronax 105,31.5,12.7,8.8
20/35 kV,150,Induscabos,Epronax 105,32.6,13.8,8.8
20/35 kV,185,Induscabos,Epronax 105,34.3,15.5,8.8
20/35 kV,240,Induscabos,Epronax 105,37.2,18.4,8.8
