
Standard,Family,Product_Group,Voltage_kV,Current_A,Base_Code,Test_Point,Cable_Range_Code,Cable_OD_Min_mm,Cable_OD_Max_mm,Conductor_Code,Concentric_AWG,Concentric_mm2,Compact_AWG,Compact_mm2,Connector_Type,Fuse_Manufacturer,Final_Product_Code
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,01,#6,,#4,,Copper,,15-LE200A01C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,01,#6,,#4,,Bi-metal,,15-LE200A01B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,02,#4,,#3,25,Copper,,15-LE200A02C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,02,#4,,#3,25,Bi-metal,,15-LE200A02B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,03,#3,25,#2,35,Copper,,15-LE200A03C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,03,#3,25,#2,35,Bi-metal,,15-LE200A03B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,04,#2,35,#1,,Copper,,15-LE200A04C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,04,#2,35,#1,,Bi-metal,,15-LE200A04B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,05,#1,,1/0,50,Copper,,15-LE200A05C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,05,#1,,1/0,50,Bi-metal,,15-LE200A05B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,06,1/0,50,2/0,70,Copper,,15-LE200A06C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,06,1/0,50,2/0,70,Bi-metal,,15-LE200A06B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,07,2/0,70,3/0,,Copper,,15-LE200A07C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,07,2/0,70,3/0,,Bi-metal,,15-LE200A07B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,08,3/0,,4/0,95,Copper,,15-LE200A08C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,08,3/0,,4/0,95,Bi-metal,,15-LE200A08B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,09,4/0,95,250,120,Copper,,15-LE200A09C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,09,4/0,95,250,120,Bi-metal,,15-LE200A09B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,10,250,120,300,,Copper,,15-LE200A10C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,A,14.61,18.8,10,250,120,300,,Bi-metal,,15-LE200A10B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,01,#6,,#4,,Copper,,15-LE200B01C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,01,#6,,#4,,Bi-metal,,15-LE200B01B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,02,#4,,#3,25,Copper,,15-LE200B02C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,02,#4,,#3,25,Bi-metal,,15-LE200B02B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,03,#3,25,#2,35,Copper,,15-LE200B03C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,03,#3,25,#2,35,Bi-metal,,15-LE200B03B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,04,#2,35,#1,,Copper,,15-LE200B04C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,04,#2,35,#1,,Bi-metal,,15-LE200B04B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,05,#1,,1/0,50,Copper,,15-LE200B05C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,05,#1,,1/0,50,Bi-metal,,15-LE200B05B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,06,1/0,50,2/0,70,Copper,,15-LE200B06C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,06,1/0,50,2/0,70,Bi-metal,,15-LE200B06B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,07,2/0,70,3/0,,Copper,,15-LE200B07C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,07,2/0,70,3/0,,Bi-metal,,15-LE200B07B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,08,3/0,,4/0,95,Copper,,15-LE200B08C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,08,3/0,,4/0,95,Bi-metal,,15-LE200B08B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,09,4/0,95,250,120,Copper,,15-LE200B09C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,09,4/0,95,250,120,Bi-metal,,15-LE200B09B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,10,250,120,300,,Copper,,15-LE200B10C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,B,16.26,22.99,10,250,120,300,,Bi-metal,,15-LE200B10B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,01,#6,,#4,,Copper,,15-LE200C01C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,01,#6,,#4,,Bi-metal,,15-LE200C01B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,02,#4,,#3,25,Copper,,15-LE200C02C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,02,#4,,#3,25,Bi-metal,,15-LE200C02B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,03,#3,25,#2,35,Copper,,15-LE200C03C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,03,#3,25,#2,35,Bi-metal,,15-LE200C03B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,04,#2,35,#1,,Copper,,15-LE200C04C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,04,#2,35,#1,,Bi-metal,,15-LE200C04B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,05,#1,,1/0,50,Copper,,15-LE200C05C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,05,#1,,1/0,50,Bi-metal,,15-LE200C05B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,06,1/0,50,2/0,70,Copper,,15-LE200C06C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,06,1/0,50,2/0,70,Bi-metal,,15-LE200C06B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,07,2/0,70,3/0,,Copper,,15-LE200C07C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,07,2/0,70,3/0,,Bi-metal,,15-LE200C07B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,08,3/0,,4/0,95,Copper,,15-LE200C08C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,08,3/0,,4/0,95,Bi-metal,,15-LE200C08B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,09,4/0,95,250,120,Copper,,15-LE200C09C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,09,4/0,95,250,120,Bi-metal,,15-LE200C09B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,10,250,120,300,,Copper,,15-LE200C10C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,C,21.08,26.92,10,250,120,300,,Bi-metal,,15-LE200C10B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,01,#6,,#4,,Copper,,15-LE200D01C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,01,#6,,#4,,Bi-metal,,15-LE200D01B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,02,#4,,#3,25,Copper,,15-LE200D02C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,02,#4,,#3,25,Bi-metal,,15-LE200D02B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,03,#3,25,#2,35,Copper,,15-LE200D03C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,03,#3,25,#2,35,Bi-metal,,15-LE200D03B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,04,#2,35,#1,,Copper,,15-LE200D04C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,04,#2,35,#1,,Bi-metal,,15-LE200D04B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,05,#1,,1/0,50,Copper,,15-LE200D05C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,05,#1,,1/0,50,Bi-metal,,15-LE200D05B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,06,1/0,50,2/0,70,Copper,,15-LE200D06C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,06,1/0,50,2/0,70,Bi-metal,,15-LE200D06B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,07,2/0,70,3/0,,Copper,,15-LE200D07C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,07,2/0,70,3/0,,Bi-metal,,15-LE200D07B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,08,3/0,,4/0,95,Copper,,15-LE200D08C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,08,3/0,,4/0,95,Bi-metal,,15-LE200D08B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,09,4/0,95,250,120,Copper,,15-LE200D09C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,09,4/0,95,250,120,Bi-metal,,15-LE200D09B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,10,250,120,300,,Copper,,15-LE200D10C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,None,D,23.62,30.99,10,250,120,300,,Bi-metal,,15-LE200D10B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,01,#6,,#4,,Copper,,15-LE200TA01C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,01,#6,,#4,,Bi-metal,,15-LE200TA01B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,02,#4,,#3,25,Copper,,15-LE200TA02C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,02,#4,,#3,25,Bi-metal,,15-LE200TA02B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,03,#3,25,#2,35,Copper,,15-LE200TA03C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,03,#3,25,#2,35,Bi-metal,,15-LE200TA03B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,04,#2,35,#1,,Copper,,15-LE200TA04C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,04,#2,35,#1,,Bi-metal,,15-LE200TA04B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,05,#1,,1/0,50,Copper,,15-LE200TA05C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,05,#1,,1/0,50,Bi-metal,,15-LE200TA05B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,A,14.61,18.8,06,1/0,50,2/0,70,Copper,,15-LE200TA06C
