tipo_condutor,secao_mm2,codigo_retorno,awg_kcmil
Concentric or Compressed,35,0002,#2
Compact or Solid,50,0001,#1
Concentric or Compressed,50,0001,#1/0
Compact or Solid,70,0010,#2/0
Concentric or Compressed,70,0020,#2/0
Compact or Solid,95,0030,#3/0
Concentric or Compressed,95,0040,#4/0
Compact or Solid,120,0040,250
Concentric or Compressed,120,0250,250
Compact or Solid,150,0250,300
Concentric or Compressed,150,0300,300
Compact or Solid,185,0350,400
Concentric or Compressed,185,0400,400
Compact or Solid,240,0450,500/550
Concentric or Compressed,240,0500,500
Compact or Solid,300,0500,600
Concentric or Compressed,300,0600,600
Compact or Solid,400,0650,750
Concentric or Compressed,400,0750,750
Compact or Solid,500,0900,1000
Concentric or Compressed,500,1000,1000
